Worksheet,Datasource,Columns,Column_instance,Column_instance_Derivation,Column_instance_Name,Column_instance_Pivot,Column_instance_Type,Dashboard,variable,value,Workbook_Source
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_cols_Col,[Calculation_1061723643283353600],both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_cols_Datasource,postgres.189b37x0tqr6w01h6ufup1co91ze,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_cols_Worksheet,Active Users,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_alias,,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_aliases,{},both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_calculation,""" """,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_caption,Blank,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_datasource,postgres.189b37x0tqr6w01h6ufup1co91ze,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_datasource_caption,Historical Events,both
Active Users,postgres.189b37x0tqr6w01h6ufup1co91ze,"[""[Calculation_1061723643283353600]"", ""[created_at]"", ""[name (hist_users)]""]",[Calculation_1061723643283353600],None,[none:Calculation_1061723643283353600:nk],key,nominal,"[""Users and Actions""]",_fields_datatype,string,both
